model,test_set,mAP_avg,mAP@7,mAP@5,mAP@10,precision,recall,f1,mean_dT1_ms,mean_dT2_ms,mean_dw,median_dT1_ms,median_dT2_ms,exist_threshold(val),n_test
baseline_v2_reproduction,t1_3500_t2_500_100k,0.662460791136512,0.6670988949461312,0.5473854757193461,0.7728980027440585,0.7784880342331871,0.7368736873687368,0.7571094612993552,59.24792941689048,6.663003276476618,0.0466178383567256,18.465610283773234,1.634493084026115,0.75,9999
aux_loss,t1_3500_t2_500_100k,0.6681212053005877,0.6721315999959137,0.5533452688321199,0.7788867470737295,0.78397673188789,0.7413241324132414,0.7620540762825126,58.986615865612,6.518721198376085,0.04722608055439161,18.269501811540238,1.6281905867406294,0.75,9999
loss_uniform,t1_3500_t2_500_100k,0.76169236349002,0.7718697549874998,0.6527044137533342,0.860502921729226,0.845984234606692,0.7674267426742675,0.8047929940480874,59.428382358624624,6.497878163187772,0.04458082065699095,18.78257462489637,1.6116454546826962,0.75,9999
exist_head_shared,t1_3500_t2_500_100k,0.6580763275686272,0.6643236281451266,0.5407333996276872,0.7691719549330678,0.7759029791721592,0.7358235823582359,0.7553319816235917,59.563400677021995,6.599106416872401,0.04840182804837886,18.46309011653267,1.6499240871256937,0.75,9999
exist_weight_03,t1_3500_t2_500_100k,0.6633457932844421,0.6704609080881885,0.5532509757337595,0.7663254960313782,0.7492507492507493,0.7125712571257126,0.7304508291257658,61.12990291307862,6.9402194478357995,0.04870016187048018,19.687001429544125,1.6651343290541085,0.75,9999
decoder_2,t1_3500_t2_500_100k,0.65168914042762,0.6581256093254001,0.5323618630385796,0.7645799489188807,0.7781379530237007,0.7322232223222322,0.754482687551525,59.533342396384555,6.68985399621372,0.04886207958765066,18.702149636879597,1.6945702876689879,0.75,9999
decoder_6,t1_3500_t2_500_100k,0.6546678269043937,0.6603967892269281,0.5387810394014211,0.764825652084832,0.774785736959052,0.7323232323232324,0.7529562982005142,59.6911275461797,6.6884850434349135,0.04881039453839728,18.584567194846173,1.6113318310544749,0.75,9999
queries_4,t1_3500_t2_500_100k,0.646365414524924,0.6528559555743679,0.5349911238765904,0.7512491641238137,0.8104468360849721,0.7192219221922193,0.7621141873095776,59.82590865039128,6.831311576347312,0.046317591407173564,18.70481675605754,1.648146480131004,0.75,9999
queries_6,t1_3500_t2_500_100k,0.6524428726941104,0.660442511586977,0.5349265798725263,0.7619595266228278,0.8031600464062759,0.726972697269727,0.7631696369983464,59.970957130153295,6.618225929367215,0.04636761896668902,18.595096159385548,1.6052249333076567,0.75,9999
physics_clean,t1_3500_t2_500_100k,0.6632547244214805,0.6671837649388835,0.5489121793757047,0.7736682289498531,0.781367313488077,0.738973897389739,0.7595795533396726,57.988315100887036,6.476477144245518,0.04733313993621271,16.475743898674537,1.537330091121588,0.75,9999
physics_noisy,t1_3500_t2_500_100k,0.6678354888001721,0.6751199975034435,0.5527765263748144,0.7756099425222582,0.7833834150456007,0.7430743074307431,0.762696640747299,57.65562126521927,6.582803410437371,0.047142632409498196,16.723727773295877,1.5719420487999383,0.75,9999
baseline_v3,t1_3500_t2_500_100k,0.6908756649706885,0.7000329920964631,0.5704270980058828,0.8021669048097199,0.8276248668647346,0.7382738273827383,0.7804001374316145,57.8107644108791,6.5946379484151665,0.04645464892736193,16.56247244852611,1.579177788859461,0.75,9999
baseline_v3_no_sqrt,t1_3500_t2_500_100k,0.6507887631136152,0.6546600800858113,0.5349837522511497,0.7627224570038847,0.8044540708652671,0.7243224322432243,0.7622881801915589,57.23443447107693,6.788947891403116,0.046443415779888926,16.723075706231896,1.6179800300843965,0.75,9999
baseline_v3_no_physics,t1_3500_t2_500_100k,0.6706428056864034,0.6786418384483367,0.5505530665652144,0.7827335120456591,0.8135678673463671,0.7262226222622262,0.7674178974345425,60.35272605828248,6.763630687681229,0.04601868789673546,18.844216123437377,1.636194962421527,0.75,9999
baseline_v4,t1_3500_t2_500_100k,0.6561152074880933,0.6619988860432657,0.5416203728639191,0.764726363557095,0.808482365317535,0.7301730173017301,0.7673349273496414,57.66917230857247,6.692017947654788,0.04658517690124876,16.494215379861046,1.578685765914181,0.75,9999
